,0
408,"33.772075,-117.301693,2013-02-12T12:00:00"
409,"33.772075,-117.301693,2013-02-13T12:00:00"
410,"33.772075,-117.301693,2013-02-14T12:00:00"
411,"33.772075,-117.301693,2013-02-15T12:00:00"
412,"33.772075,-117.301693,2013-02-16T12:00:00"
413,"33.772075,-117.301693,2013-02-17T12:00:00"
414,"33.772075,-117.301693,2013-02-18T12:00:00"
415,"33.772075,-117.301693,2013-02-19T12:00:00"
416,"33.772075,-117.301693,2013-02-20T12:00:00"
417,"33.772075,-117.301693,2013-02-21T12:00:00"
418,"33.772075,-117.301693,2013-02-22T12:00:00"
419,"33.772075,-117.301693,2013-02-23T12:00:00"
420,"33.772075,-117.301693,2013-02-24T12:00:00"
421,"33.772075,-117.301693,2013-02-25T12:00:00"
422,"33.772075,-117.301693,2013-02-26T12:00:00"
423,"33.772075,-117.301693,2013-02-27T12:00:00"
424,"33.772075,-117.301693,2013-02-28T12:00:00"
425,"33.772075,-117.301693,2013-03-01T12:00:00"
426,"33.772075,-117.301693,2013-03-02T12:00:00"
427,"33.772075,-117.301693,2013-03-03T12:00:00"
428,"33.772075,-117.301693,2013-03-04T12:00:00"
429,"33.772075,-117.301693,2013-03-05T12:00:00"
430,"33.772075,-117.301693,2013-03-06T12:00:00"
431,"33.772075,-117.301693,2013-03-07T12:00:00"
432,"33.772075,-117.301693,2013-03-08T12:00:00"
433,"33.772075,-117.301693,2013-03-09T12:00:00"
434,"33.772075,-117.301693,2013-03-10T12:00:00"
435,"33.772075,-117.301693,2013-03-11T12:00:00"
436,"33.772075,-117.301693,2013-03-12T12:00:00"
437,"33.772075,-117.301693,2013-03-13T12:00:00"
438,"33.772075,-117.301693,2013-03-14T12:00:00"
439,"33.772075,-117.301693,2013-03-15T12:00:00"
440,"33.772075,-117.301693,2013-03-16T12:00:00"
441,"33.772075,-117.301693,2013-03-17T12:00:00"
442,"33.772075,-117.301693,2013-03-18T12:00:00"
443,"33.772075,-117.301693,2013-03-19T12:00:00"
444,"33.772075,-117.301693,2013-03-20T12:00:00"
445,"33.772075,-117.301693,2013-03-21T12:00:00"
446,"33.772075,-117.301693,2013-03-22T12:00:00"
447,"33.772075,-117.301693,2013-03-23T12:00:00"
448,"33.772075,-117.301693,2013-03-24T12:00:00"
449,"33.772075,-117.301693,2013-03-25T12:00:00"
450,"33.772075,-117.301693,2013-03-26T12:00:00"
451,"33.772075,-117.301693,2013-03-27T12:00:00"
452,"33.772075,-117.301693,2013-03-28T12:00:00"
453,"33.772075,-117.301693,2013-03-29T12:00:00"
454,"33.772075,-117.301693,2013-03-30T12:00:00"
455,"33.772075,-117.301693,2013-03-31T12:00:00"
456,"33.772075,-117.301693,2013-04-01T12:00:00"
457,"33.772075,-117.301693,2013-04-02T12:00:00"
458,"33.772075,-117.301693,2013-04-03T12:00:00"
459,"33.772075,-117.301693,2013-04-04T12:00:00"
460,"33.772075,-117.301693,2013-04-05T12:00:00"
461,"33.772075,-117.301693,2013-04-06T12:00:00"
462,"33.772075,-117.301693,2013-04-07T12:00:00"
463,"33.772075,-117.301693,2013-04-08T12:00:00"
464,"33.772075,-117.301693,2013-04-09T12:00:00"
465,"33.772075,-117.301693,2013-04-10T12:00:00"
466,"33.772075,-117.301693,2013-04-11T12:00:00"
467,"33.772075,-117.301693,2013-04-12T12:00:00"
468,"33.772075,-117.301693,2013-04-13T12:00:00"
469,"33.772075,-117.301693,2013-04-14T12:00:00"
470,"33.772075,-117.301693,2013-04-15T12:00:00"
471,"33.772075,-117.301693,2013-04-16T12:00:00"
472,"33.772075,-117.301693,2013-04-17T12:00:00"
473,"33.772075,-117.301693,2013-04-18T12:00:00"
474,"33.772075,-117.301693,2013-04-19T12:00:00"
475,"33.772075,-117.301693,2013-04-20T12:00:00"
476,"33.772075,-117.301693,2013-04-21T12:00:00"
477,"33.772075,-117.301693,2013-04-22T12:00:00"
478,"33.772075,-117.301693,2013-04-23T12:00:00"
479,"33.772075,-117.301693,2013-04-24T12:00:00"
480,"33.772075,-117.301693,2013-04-25T12:00:00"
481,"33.772075,-117.301693,2013-04-26T12:00:00"
482,"33.772075,-117.301693,2013-04-27T12:00:00"
483,"33.772075,-117.301693,2013-04-28T12:00:00"
484,"33.772075,-117.301693,2013-04-29T12:00:00"
485,"33.772075,-117.301693,2013-04-30T12:00:00"
486,"33.772075,-117.301693,2013-05-01T12:00:00"
487,"33.772075,-117.301693,2013-05-02T12:00:00"
488,"33.772075,-117.301693,2013-05-03T12:00:00"
489,"33.772075,-117.301693,2013-05-04T12:00:00"
490,"33.772075,-117.301693,2013-05-05T12:00:00"
491,"33.772075,-117.301693,2013-05-06T12:00:00"
492,"33.772075,-117.301693,2013-05-07T12:00:00"
493,"33.772075,-117.301693,2013-05-08T12:00:00"
494,"33.772075,-117.301693,2013-05-09T12:00:00"
495,"33.772075,-117.301693,2013-05-10T12:00:00"
496,"33.772075,-117.301693,2013-05-11T12:00:00"
497,"33.772075,-117.301693,2013-05-12T12:00:00"
498,"33.772075,-117.301693,2013-05-13T12:00:00"
